Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 32.07      2.79     2.79                             rabinkarp_update (rabinkarp.c:93 @ 7f58)
  3.56      3.10     0.31                             blake2b_compress (blake2b-ref.c:184 @ 8610)
  2.53      3.32     0.22                             blake2b_compress (blake2b-ref.c:214 @ 9dcc)
  2.18      3.51     0.19                             blake2b_compress (blake2b-ref.c:183 @ 8618)
  1.61      3.65     0.14                             blake2b_compress (blake2b-ref.c:178 @ 85fc)
  1.61      3.79     0.14                             blake2b_compress (blake2b-ref.c:188 @ 8638)
  1.03      3.88     0.09                             blake2b_compress (blake2b-ref.c:200 @ 864a)
  0.80      3.95     0.07  8421376     8.31     8.31  blake2b_compress (blake2b-ref.c:178 @ 85e0)
  0.69      4.01     0.06                             blake2b_compress (blake2b-ref.c:210 @ 99a8)
  0.57      4.06     0.05                             blake2b_compress (blake2b-ref.c:202 @ 8aa8)
  0.57      4.11     0.05                             blake2b_compress (blake2b-ref.c:206 @ 9228)
  0.57      4.16     0.05                             blake2b_compress (blake2b-ref.c:210 @ 9ab3)
  0.57      4.21     0.05                             blake2b_compress (blake2b-ref.c:211 @ 9daa)
  0.52      4.26     0.05                             blake2b_compress (blake2b-ref.c:204 @ 8f73)
  0.52      4.30     0.05                             blake2b_compress (blake2b-ref.c:200 @ 886a)
  0.46      4.34     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8629)
  0.46      4.38     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8640)
  0.46      4.42     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8bf7)
  0.46      4.46     0.04                             blake2b_compress (blake2b-ref.c:207 @ 943b)
  0.46      4.50     0.04                             blake2b_compress (blake2b-ref.c:209 @ 9804)
  0.46      4.54     0.04                             blake2b_compress (blake2b-ref.c:210 @ 9a31)
  0.46      4.58     0.04                             rabinkarp_update (rabinkarp.c:92 @ 7f3d)
  0.40      4.62     0.04                             blake2b_compress (blake2b-ref.c:205 @ 9202)
  0.40      4.65     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.40      4.69     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9ca7)
  0.40      4.72     0.04                             rabinkarp_update (rabinkarp.c:92 @ 8043)
  0.34      4.75     0.03                             blake2b_compress (blake2b-ref.c:183 @ 85fa)
  0.34      4.78     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8904)
  0.34      4.81     0.03                             blake2b_compress (blake2b-ref.c:201 @ 89ac)
  0.34      4.84     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8bb3)
  0.34      4.87     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8df5)
  0.34      4.90     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e68)
  0.34      4.93     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8ef8)
  0.34      4.96     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9171)
  0.34      4.99     0.03                             blake2b_compress (blake2b-ref.c:205 @ 917c)
  0.34      5.02     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9639)
  0.34      5.05     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9737)
  0.34      5.08     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99f9)
  0.34      5.11     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9aa3)
  0.34      5.14     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9b4a)
  0.34      5.17     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9ce8)
  0.34      5.20     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9d3f)
  0.34      5.23     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9d50)
  0.34      5.26     0.03                             blake2b_compress (blake2b-ref.c:216 @ 9de6)
  0.34      5.29     0.03                             blake2b_increment_counter (blake2b-ref.c:68 @ 9ee5)
  0.34      5.32     0.03                             rotr64 (blake2-impl.h:155 @ 8829)
  0.34      5.35     0.03                             rotr64 (blake2-impl.h:155 @ 8d18)
  0.34      5.38     0.03                             rotr64 (blake2-impl.h:155 @ 92a0)
  0.34      5.41     0.03                             rotr64 (blake2-impl.h:155 @ 9a20)
  0.29      5.44     0.03                             rabinkarp_update (rabinkarp.c:94 @ 803f)
  0.29      5.46     0.03                             rotr64 (blake2-impl.h:155 @ 91fa)
  0.29      5.49     0.03                             rotr64 (blake2-impl.h:155 @ 9cd3)
  0.23      5.51     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86e4)
  0.23      5.53     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8776)
  0.23      5.55     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a82)
  0.23      5.57     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ad8)
  0.23      5.59     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8aec)
  0.23      5.61     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b86)
  0.23      5.63     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8cc4)
  0.23      5.65     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d9a)
  0.23      5.67     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e9b)
  0.23      5.69     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9067)
  0.23      5.71     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9084)
  0.23      5.73     0.02                             blake2b_compress (blake2b-ref.c:205 @ 91b5)
  0.23      5.75     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9377)
  0.23      5.77     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9403)
  0.23      5.79     0.02                             blake2b_compress (blake2b-ref.c:206 @ 940d)
  0.23      5.81     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9524)
  0.23      5.83     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9575)
  0.23      5.85     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9678)
  0.23      5.87     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96f3)
  0.23      5.89     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97e7)
  0.23      5.91     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9897)
  0.23      5.93     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98ac)
  0.23      5.95     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98fc)
  0.23      5.97     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9935)
  0.23      5.99     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9996)
  0.23      6.01     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a0d)
  0.23      6.03     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9af7)
  0.23      6.05     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b83)
  0.23      6.07     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ba7)
  0.23      6.09     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d00)
  0.23      6.11     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d91)
  0.23      6.13     0.02                             blake2b_update (blake2b-ref.c:237 @ 9ed4)
  0.23      6.15     0.02                             rotr64 (blake2-impl.h:155 @ 8a60)
  0.23      6.17     0.02                             rotr64 (blake2-impl.h:155 @ 8ad0)
  0.23      6.19     0.02                             rotr64 (blake2-impl.h:155 @ 8cad)
  0.23      6.21     0.02                             rotr64 (blake2-impl.h:155 @ 8d75)
  0.23      6.23     0.02                             rotr64 (blake2-impl.h:155 @ 8ee7)
  0.23      6.25     0.02                             rotr64 (blake2-impl.h:155 @ 9149)
  0.23      6.27     0.02                             rotr64 (blake2-impl.h:155 @ 9271)
  0.23      6.29     0.02                             rotr64 (blake2-impl.h:155 @ 9312)
  0.23      6.31     0.02                             rotr64 (blake2-impl.h:155 @ 94f5)
  0.23      6.33     0.02                             rotr64 (blake2-impl.h:155 @ 95e5)
  0.23      6.35     0.02                             rotr64 (blake2-impl.h:155 @ 997a)
  0.23      6.37     0.02                             rotr64 (blake2-impl.h:155 @ 9aec)
  0.23      6.39     0.02                             rotr64 (blake2-impl.h:155 @ 9bad)
  0.23      6.41     0.02                             rs_scoop_total_avail (scoop.c:230 @ 838a)
  0.17      6.42     0.02                             blake2b_compress (blake2b-ref.c:200 @ 87af)
  0.17      6.44     0.02                             blake2b_compress (blake2b-ref.c:200 @ 889b)
  0.17      6.45     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8963)
  0.17      6.47     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8977)
  0.17      6.48     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8c4a)
  0.17      6.50     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d57)
  0.17      6.51     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90f7)
  0.17      6.53     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9306)
  0.17      6.54     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96b2)
  0.17      6.56     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96c6)
  0.17      6.57     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98e2)
  0.17      6.59     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9964)
  0.17      6.60     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9982)
  0.17      6.62     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a72)
  0.17      6.63     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b5b)
  0.17      6.65     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bb1)
  0.17      6.66     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9cde)
  0.17      6.68     0.02                             rotr64 (blake2-impl.h:155 @ 8a7a)
  0.17      6.69     0.02                             rotr64 (blake2-impl.h:155 @ 8b7e)
  0.17      6.71     0.02                             rotr64 (blake2-impl.h:155 @ 8b92)
  0.17      6.72     0.02                             rotr64 (blake2-impl.h:155 @ 8f9e)
  0.17      6.74     0.02                             rotr64 (blake2-impl.h:155 @ 9253)
  0.17      6.75     0.02                             rotr64 (blake2-impl.h:155 @ 932f)
  0.17      6.77     0.02                             rotr64 (blake2-impl.h:155 @ 996e)
  0.17      6.78     0.02                             rotr64 (blake2-impl.h:155 @ 99d3)
  0.17      6.80     0.02                             rotr64 (blake2-impl.h:155 @ 9a6e)
  0.17      6.81     0.02                             rotr64 (blake2-impl.h:155 @ 9bb7)
  0.17      6.83     0.02                             rotr64 (blake2-impl.h:155 @ 9c0e)
  0.11      6.84     0.01                             blake2b_compress (blake2b-ref.c:200 @ 871a)
  0.11      6.85     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8724)
  0.11      6.86     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8735)
  0.11      6.87     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8756)
  0.11      6.88     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87c3)
  0.11      6.89     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87d6)
  0.11      6.90     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87fe)
  0.11      6.91     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8831)
  0.11      6.92     0.01                             blake2b_compress (blake2b-ref.c:200 @ 885c)
  0.11      6.93     0.01                             blake2b_compress (blake2b-ref.c:200 @ 887c)
  0.11      6.94     0.01                             blake2b_compress (blake2b-ref.c:200 @ 88cd)
  0.11      6.95     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8929)
  0.11      6.96     0.01                             blake2b_compress (blake2b-ref.c:201 @ 896d)
  0.11      6.97     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8991)
  0.11      6.98     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8997)
  0.11      6.99     0.01                             blake2b_compress (blake2b-ref.c:201 @ 89d1)
  0.11      7.00     0.01                             blake2b_compress (blake2b-ref.c:201 @ 89fc)
  0.11      7.01     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a09)
  0.11      7.02     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a20)
  0.11      7.03     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a71)
  0.11      7.04     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b00)
  0.11      7.05     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b19)
  0.11      7.06     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b3f)
  0.11      7.07     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b72)
  0.11      7.08     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ba3)
  0.11      7.09     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8c8d)
  0.11      7.10     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cbb)
  0.11      7.11     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d01)
  0.11      7.12     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d37)
  0.11      7.13     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d6c)
  0.11      7.14     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d79)
  0.11      7.15     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8da4)
  0.11      7.16     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8ddd)
  0.11      7.17     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8e4f)
  0.11      7.18     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8ecd)
  0.11      7.19     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f32)
  0.11      7.20     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f46)
  0.11      7.21     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8fb7)
  0.11      7.22     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8fd5)
  0.11      7.23     0.01                             blake2b_compress (blake2b-ref.c:204 @ 9043)
  0.11      7.24     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90c1)
  0.11      7.25     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90ed)
  0.11      7.26     0.01                             blake2b_compress (blake2b-ref.c:205 @ 912c)
  0.11      7.27     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9151)
  0.11      7.28     0.01                             blake2b_compress (blake2b-ref.c:205 @ 91a0)
  0.11      7.29     0.01                             blake2b_compress (blake2b-ref.c:205 @ 91e4)
  0.11      7.30     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9279)
  0.11      7.31     0.01                             blake2b_compress (blake2b-ref.c:206 @ 92b1)
  0.11      7.32     0.01                             blake2b_compress (blake2b-ref.c:206 @ 932c)
  0.11      7.33     0.01                             blake2b_compress (blake2b-ref.c:206 @ 93ac)
  0.11      7.34     0.01                             blake2b_compress (blake2b-ref.c:206 @ 93b6)
  0.11      7.35     0.01                             blake2b_compress (blake2b-ref.c:206 @ 93ca)
  0.11      7.36     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9416)
  0.11      7.37     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9427)
  0.11      7.38     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9431)
  0.11      7.39     0.01                             blake2b_compress (blake2b-ref.c:207 @ 94ad)
  0.11      7.40     0.01                             blake2b_compress (blake2b-ref.c:207 @ 94ec)
  0.11      7.41     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9553)
  0.11      7.42     0.01                             blake2b_compress (blake2b-ref.c:207 @ 955d)
  0.11      7.43     0.01                             blake2b_compress (blake2b-ref.c:207 @ 959d)
  0.11      7.44     0.01                             blake2b_compress (blake2b-ref.c:208 @ 95e8)
  0.11      7.45     0.01                             blake2b_compress (blake2b-ref.c:208 @ 96d9)
  0.11      7.46     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9755)
  0.11      7.47     0.01                             blake2b_compress (blake2b-ref.c:208 @ 975b)
  0.11      7.48     0.01                             blake2b_compress (blake2b-ref.c:208 @ 9776)
  0.11      7.49     0.01                             blake2b_compress (blake2b-ref.c:208 @ 978a)
  0.11      7.50     0.01                             blake2b_compress (blake2b-ref.c:209 @ 97b2)
  0.11      7.51     0.01                             blake2b_compress (blake2b-ref.c:209 @ 97fb)
  0.11      7.52     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9959)
  0.11      7.53     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9b8d)
  0.11      7.54     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9bbb)
  0.11      7.55     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9c7c)
  0.11      7.56     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9cc2)
  0.11      7.57     0.01                             blake2b_compress (blake2b-ref.c:211 @ 9d2d)
  0.11      7.58     0.01                             blake2b_compress (blake2b-ref.c:213 @ 9dc2)
  0.11      7.59     0.01                             blake2b_increment_counter (blake2b-ref.c:69 @ 9ee9)
  0.11      7.60     0.01                             blake2b_update (blake2b-ref.c:237 @ 9ef7)
  0.11      7.61     0.01                             blake2b_update (blake2b-ref.c:235 @ 9efc)
  0.11      7.62     0.01                             rotr64 (blake2-impl.h:155 @ 874c)
  0.11      7.63     0.01                             rotr64 (blake2-impl.h:155 @ 8772)
  0.11      7.64     0.01                             rotr64 (blake2-impl.h:155 @ 87cf)
  0.11      7.65     0.01                             rotr64 (blake2-impl.h:155 @ 88b5)
  0.11      7.66     0.01                             rotr64 (blake2-impl.h:155 @ 88bf)
  0.11      7.67     0.01                             rotr64 (blake2-impl.h:155 @ 8969)
  0.11      7.68     0.01                             rotr64 (blake2-impl.h:155 @ 89a8)
  0.11      7.69     0.01                             rotr64 (blake2-impl.h:155 @ 89c9)
  0.11      7.70     0.01                             rotr64 (blake2-impl.h:155 @ 89f4)
  0.11      7.71     0.01                             rotr64 (blake2-impl.h:155 @ 8b0c)
  0.11      7.72     0.01                             rotr64 (blake2-impl.h:155 @ 8b6a)
  0.11      7.73     0.01                             rotr64 (blake2-impl.h:155 @ 8bec)
  0.11      7.74     0.01                             rotr64 (blake2-impl.h:155 @ 8c28)
  0.11      7.75     0.01                             rotr64 (blake2-impl.h:155 @ 8e41)
  0.11      7.76     0.01                             rotr64 (blake2-impl.h:155 @ 8e65)
  0.11      7.77     0.01                             rotr64 (blake2-impl.h:155 @ 8e93)
  0.11      7.78     0.01                             rotr64 (blake2-impl.h:155 @ 8eb1)
  0.11      7.79     0.01                             rotr64 (blake2-impl.h:155 @ 8ec5)
  0.11      7.80     0.01                             rotr64 (blake2-impl.h:155 @ 9053)
  0.11      7.81     0.01                             rotr64 (blake2-impl.h:155 @ 906d)
  0.11      7.82     0.01                             rotr64 (blake2-impl.h:155 @ 9174)
