Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.03     57.34     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86f1)
  0.03     57.36     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
  0.03     57.38     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87c4)
  0.03     57.40     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87e9)
  0.03     57.42     0.02                             blake2b_compress (blake2b-ref.c:201 @ 886c)
  0.03     57.44     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88c9)
  0.03     57.46     0.02                             blake2b_compress (blake2b-ref.c:202 @ 89d9)
  0.03     57.48     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a46)
  0.03     57.50     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8b56)
  0.03     57.52     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8db8)
  0.03     57.54     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f44)
  0.03     57.56     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9060)
  0.03     57.58     0.02                             blake2b_compress (blake2b-ref.c:206 @ 90e8)
  0.03     57.60     0.02                             blake2b_compress (blake2b-ref.c:206 @ 914d)
  0.03     57.62     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.03     57.64     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9538)
  0.03     57.66     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.03     57.68     0.02                             blake2b_compress (blake2b-ref.c:208 @ 968d)
  0.03     57.70     0.02                             blake2b_compress (blake2b-ref.c:209 @ 96bb)
  0.03     57.72     0.02                             blake2b_compress (blake2b-ref.c:209 @ 96c4)
  0.03     57.74     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97f5)
  0.03     57.76     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9868)
  0.03     57.78     0.02                             blake2b_compress (blake2b-ref.c:210 @ 98b9)
  0.03     57.80     0.02                             blake2b_compress (blake2b-ref.c:210 @ 98f1)
  0.03     57.82     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a39)
  0.03     57.84     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9a95)
  0.03     57.86     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ad9)
  0.03     57.88     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9af1)
  0.03     57.90     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b2f)
