Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 28.34      2.63     2.63                             rabinkarp_update (rabinkarp.c:93 @ 7f58)
  3.23      2.93     0.30                             blake2b_compress (blake2b-ref.c:214 @ 9dcc)
  2.37      3.15     0.22                             blake2b_compress (blake2b-ref.c:184 @ 8610)
  1.83      3.32     0.17                             blake2b_compress (blake2b-ref.c:183 @ 8618)
  1.40      3.45     0.13                             blake2b_compress (blake2b-ref.c:178 @ 85fc)
  0.92      3.54     0.09  9437184     9.01     9.01  blake2b_compress (blake2b-ref.c:178 @ 85e0)
  0.75      3.61     0.07                             blake2b_compress (blake2b-ref.c:188 @ 8638)
  0.70      3.67     0.07                             blake2b_compress (blake2b-ref.c:187 @ 8640)
  0.59      3.73     0.06                             rs_tube_write (tube.c:199 @ 85ce)
  0.54      3.78     0.05                             blake2b_compress (blake2b-ref.c:204 @ 8ef8)
  0.54      3.83     0.05                             blake2b_compress (blake2b-ref.c:208 @ 978a)
  0.54      3.88     0.05                             rabinkarp_update (rabinkarp.c:92 @ 7f3d)
  0.54      3.93     0.05                             rabinkarp_update (rabinkarp.c:92 @ 8043)
  0.48      3.97     0.05                             blake2b_compress (blake2b-ref.c:183 @ 85fa)
  0.48      4.02     0.05                             blake2b_compress (blake2b-ref.c:200 @ 864a)
  0.48      4.06     0.05                             blake2b_compress (blake2b-ref.c:216 @ 9de6)
  0.43      4.10     0.04                             blake2b_compress (blake2b-ref.c:201 @ 8a35)
  0.43      4.14     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8df5)
  0.43      4.18     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9678)
  0.43      4.22     0.04                             rotr64 (blake2-impl.h:155 @ 87bb)
  0.38      4.26     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8e9b)
  0.38      4.29     0.04                             blake2b_compress (blake2b-ref.c:209 @ 97fb)
  0.32      4.32     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9ca7)
  0.32      4.35     0.03  2097155    14.31    14.31  rs_tube_write (tube.c:193 @ 85a0)
  0.32      4.38     0.03  1048576    28.61    28.61  rs_calc_strong_sum (checksum.c:59 @ 5870)
  0.32      4.41     0.03                             blake2b_compress (blake2b-ref.c:187 @ 8629)
  0.32      4.44     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8831)
  0.32      4.47     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8aa8)
  0.32      4.50     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8d01)
  0.32      4.53     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e68)
  0.32      4.56     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8f73)
  0.32      4.59     0.03                             blake2b_compress (blake2b-ref.c:204 @ 900a)
  0.32      4.62     0.03                             blake2b_compress (blake2b-ref.c:205 @ 917c)
  0.32      4.65     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9377)
  0.32      4.68     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9737)
  0.32      4.71     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99a8)
  0.32      4.74     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9af7)
  0.32      4.77     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9b4a)
  0.32      4.80     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9ce8)
  0.32      4.83     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9d91)
  0.32      4.86     0.03                             blake2b_init0 (blake2b-ref.c:75 @ 9f5f)
  0.32      4.89     0.03                             rotr64 (blake2-impl.h:155 @ 91e0)
  0.32      4.92     0.03                             rotr64 (blake2-impl.h:155 @ 99d3)
  0.32      4.95     0.03                             rotr64 (blake2-impl.h:155 @ 9a05)
  0.27      4.98     0.03  1048576    23.85    23.85  rs_calc_weak_sum (checksum.c:33 @ 5800)
  0.27      5.00     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8756)
  0.27      5.03     0.03                             blake2b_compress (blake2b-ref.c:201 @ 88fb)
  0.27      5.05     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8ca7)
  0.27      5.08     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8d37)
  0.27      5.10     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9306)
  0.27      5.13     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.27      5.15     0.03                             blake2b_compress (blake2b-ref.c:207 @ 943b)
  0.27      5.18     0.03                             blake2b_compress (blake2b-ref.c:207 @ 94b7)
  0.27      5.20     0.03                             blake2b_compress (blake2b-ref.c:207 @ 94d7)
  0.27      5.23     0.03                             blake2b_compress (blake2b-ref.c:208 @ 96f3)
  0.27      5.25     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9ab3)
  0.27      5.28     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9b96)
  0.27      5.30     0.03                             blake2b_update (blake2b-ref.c:234 @ 9e9f)
  0.27      5.33     0.03                             rotr64 (blake2-impl.h:155 @ 8b6a)
  0.27      5.35     0.03                             rotr64 (blake2-impl.h:155 @ 9516)
  0.27      5.38     0.03                             rs_tube_write (tube.c:198 @ 85c7)
  0.22      5.40     0.02  1310721    15.26    15.26  rs_scoop_read (scoop.c:193 @ 82e0)
  0.22      5.42     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8724)
  0.22      5.44     0.02                             blake2b_compress (blake2b-ref.c:200 @ 887c)
  0.22      5.46     0.02                             blake2b_compress (blake2b-ref.c:200 @ 88b9)
  0.22      5.48     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88f1)
  0.22      5.50     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8977)
  0.22      5.52     0.02                             blake2b_compress (blake2b-ref.c:201 @ 89f1)
  0.22      5.54     0.02                             blake2b_compress (blake2b-ref.c:201 @ 89fc)
  0.22      5.56     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b19)
  0.22      5.58     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b3f)
  0.22      5.60     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8c4a)
  0.22      5.62     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8c83)
  0.22      5.64     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8f63)
  0.22      5.66     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9084)
  0.22      5.68     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90f7)
  0.22      5.70     0.02                             blake2b_compress (blake2b-ref.c:205 @ 912c)
  0.22      5.72     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9171)
  0.22      5.74     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9189)
  0.22      5.76     0.02                             blake2b_compress (blake2b-ref.c:205 @ 91a0)
  0.22      5.78     0.02                             blake2b_compress (blake2b-ref.c:205 @ 91b5)
  0.22      5.80     0.02                             blake2b_compress (blake2b-ref.c:205 @ 91e4)
  0.22      5.82     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9228)
  0.22      5.84     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9279)
  0.22      5.86     0.02                             blake2b_compress (blake2b-ref.c:206 @ 928d)
  0.22      5.88     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9427)
  0.22      5.90     0.02                             blake2b_compress (blake2b-ref.c:207 @ 94f9)
  0.22      5.92     0.02                             blake2b_compress (blake2b-ref.c:207 @ 950a)
  0.22      5.94     0.02                             blake2b_compress (blake2b-ref.c:207 @ 951a)
  0.22      5.96     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95e8)
  0.22      5.98     0.02                             blake2b_compress (blake2b-ref.c:208 @ 961b)
  0.22      6.00     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9863)
  0.22      6.02     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9877)
  0.22      6.04     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9897)
  0.22      6.06     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98ac)
  0.22      6.08     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9935)
  0.22      6.10     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99db)
  0.22      6.12     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99f9)
  0.22      6.14     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a99)
  0.22      6.16     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bbb)
  0.22      6.18     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c6f)
  0.22      6.20     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c7c)
  0.22      6.22     0.02                             rotr64 (blake2-impl.h:155 @ 8829)
  0.22      6.24     0.02                             rotr64 (blake2-impl.h:155 @ 884b)
  0.22      6.26     0.02                             rotr64 (blake2-impl.h:155 @ 88b5)
