Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.03    108.39     0.03                             rabinkarp_update (rabinkarp.c:92 @ 7e6d)
  0.03    108.42     0.03                             rabinkarp_update (rabinkarp.c:92 @ 7fe0)
  0.03    108.45     0.03                             rs_tube_catchup (tube.c:144 @ 82e6)
  0.03    108.48     0.03                             rs_tube_catchup (tube.c:157 @ 83b2)
  0.02    108.51     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9092)
  0.02    108.53     0.03                             blake2b_compress (blake2b-ref.c:207 @ 94cd)
  0.02    108.56     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99a2)
  0.02    108.58     0.03                             rs_infilebuf_fill (buf.c:104 @ 5619)
  0.02    108.60     0.02  2097925     9.53     9.53  rs_scoop_readahead (scoop.c:149 @ 8170)
  0.02    108.62     0.02                             blake2b_compress (blake2b-ref.c:187 @ 8570)
  0.02    108.64     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8834)
  0.02    108.66     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8901)
  0.02    108.68     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8950)
  0.02    108.70     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c31)
  0.02    108.72     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d4d)
  0.02    108.74     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8dcb)
  0.02    108.76     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8fb4)
  0.02    108.78     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9013)
  0.02    108.80     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90e5)
  0.02    108.82     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9454)
  0.02    108.84     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9569)
  0.02    108.86     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9734)
  0.02    108.88     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b05)
  0.02    108.90     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bd7)
  0.02    108.92     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c4f)
  0.02    108.94     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9e8f)
  0.02    108.96     0.02                             blake2b_init_param (blake2b-ref.c:94 @ 9f41)
  0.02    108.98     0.02                             blake2b_update (blake2b-ref.c:234 @ 9dcf)
  0.02    109.00     0.02                             hashtable_add (hashtable.h:270 @ 4b12)
  0.02    109.02     0.02                             rotr64 (blake2-impl.h:155 @ 8759)
  0.02    109.04     0.02                             rotr64 (blake2-impl.h:155 @ 8a9a)
  0.02    109.06     0.02                             rotr64 (blake2-impl.h:155 @ 9079)
  0.02    109.08     0.02                             rotr64 (blake2-impl.h:155 @ 9515)
  0.02    109.10     0.02                             rotr64 (blake2-impl.h:155 @ 98d2)
  0.02    109.12     0.02                             rotr64 (blake2-impl.h:155 @ 9c03)
  0.02    109.14     0.02                             rotr64 (blake2-impl.h:155 @ 9c56)
  0.02    109.16     0.02                             rotr64 (blake2-impl.h:155 @ 9c7c)
  0.02    109.18     0.02                             rs_block_match_init (sumset.c:59 @ 4742)
  0.02    109.20     0.02                             rs_delta_s_scan (delta.c:121 @ 5dd7)
  0.02    109.22     0.02                             rs_delta_s_scan (delta.c:132 @ 5ef6)
  0.02    109.24     0.02                             rs_infilebuf_fill (buf.c:93 @ 55eb)
  0.02    109.26     0.02                             rs_job_work (job.c:125 @ 66b0)
  0.02    109.28     0.02                             rs_outfilebuf_drain (buf.c:170 @ 56ca)
  0.02    109.30     0.02                             rs_scoop_input (scoop.c:107 @ 80b0)
  0.02    109.32     0.02                             rs_scoop_total_avail (scoop.c:230 @ 82ba)
  0.02    109.34     0.02                             rs_signature_add_block (sumset.c:234 @ 467d)
  0.02    109.36     0.02                             rs_suck_netint (netint.c:104 @ 74fc)
  0.02    109.38     0.02                             rs_tube_catchup (tube.c:138 @ 82d7)
  0.02    109.40     0.02                             rs_tube_catchup (tube.c:137 @ 82de)
  0.02    109.42     0.02                             rs_tube_catchup (tube.c:156 @ 82f2)
  0.02    109.44     0.02                             rs_tube_catchup (tube.c:157 @ 82f4)
  0.01    109.46     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.01    109.47     0.02                             blake2b_compress (blake2b-ref.c:201 @ 89c6)
  0.01    109.49     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a6f)
  0.01    109.50     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ae3)
  0.01    109.52     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e76)
  0.01    109.53     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e93)
  0.01    109.55     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93e7)
  0.01    109.56     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9407)
  0.01    109.58     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95e2)
  0.01    109.59     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97a7)
  0.01    109.61     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b2d)
  0.01    109.62     0.02                             rabinkarp_pow (rabinkarp.c:79 @ 7fc4)
  0.01    109.64     0.02                             rabinkarp_pow (rabinkarp.c:81 @ 7fc7)
  0.01    109.65     0.02                             rotr64 (blake2-impl.h:155 @ 8e6e)
  0.01    109.67     0.02                             rotr64 (blake2-impl.h:155 @ 908e)
  0.01    109.68     0.02                             rotr64 (blake2-impl.h:155 @ 93be)
  0.01    109.70     0.02                             rotr64 (blake2-impl.h:155 @ 94c2)
  0.01    109.71     0.02                             rotr64 (blake2-impl.h:155 @ 9597)
  0.01    109.73     0.02                             rotr64 (blake2-impl.h:155 @ 96b7)
  0.01    109.74     0.02                             rs_block_sig_ptr (sumset.c:106 @ 46a0)
  0.01    109.76     0.02                             rs_block_sig_ptr (sumset.c:105 @ 46a4)
  0.01    109.77     0.02                             rs_infilebuf_fill (buf.c:126 @ 55d1)
  0.01    109.79     0.02                             rs_infilebuf_fill (buf.c:103 @ 5604)
  0.01    109.80     0.01  1147652     8.71     8.71  rs_infilebuf_fill (buf.c:78 @ 55a0)
  0.01    109.81     0.01   654956    15.27    15.27  rs_calc_strong_sum (checksum.c:59 @ 57e0)
  0.01    109.82     0.01                             blake2b_compress (blake2b-ref.c:183 @ 852a)
  0.01    109.83     0.01                             blake2b_compress (blake2b-ref.c:200 @ 864a)
  0.01    109.84     0.01                             blake2b_compress (blake2b-ref.c:200 @ 872e)
  0.01    109.85     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87ac)
  0.01    109.86     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87e9)
  0.01    109.87     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87f3)
  0.01    109.88     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8893)
  0.01    109.89     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88a7)
  0.01    109.90     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88c1)
  0.01    109.91     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88c7)
  0.01    109.92     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88dc)
  0.01    109.93     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8912)
  0.01    109.94     0.01                             blake2b_compress (blake2b-ref.c:201 @ 892c)
  0.01    109.95     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8939)
  0.01    109.96     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8965)
  0.01    109.97     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a49)
  0.01    109.98     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8aa2)
  0.01    109.99     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b66)
  0.01    110.00     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ba9)
  0.01    110.01     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8bbd)
  0.01    110.02     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8beb)
  0.01    110.03     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c19)
  0.01    110.04     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c53)
  0.01    110.05     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8ca9)
  0.01    110.06     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cd4)
  0.01    110.07     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d03)
  0.01    110.08     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d0d)
  0.01    110.09     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8d98)
  0.01    110.10     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8de9)
