Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.19      7.11     0.02                             blake2b_compress (blake2b-ref.c:209 @ a076)
  0.19      7.13     0.02                             blake2b_compress (blake2b-ref.c:210 @ a177)
  0.19      7.15     0.02                             blake2b_compress (blake2b-ref.c:210 @ a1a4)
  0.19      7.17     0.02                             blake2b_compress (blake2b-ref.c:210 @ a24c)
  0.19      7.19     0.02                             blake2b_compress (blake2b-ref.c:210 @ a26d)
  0.19      7.21     0.02                             blake2b_compress (blake2b-ref.c:211 @ a2a5)
  0.19      7.23     0.02                             blake2b_compress (blake2b-ref.c:211 @ a2ee)
  0.19      7.25     0.02                             blake2b_compress (blake2b-ref.c:211 @ a388)
  0.19      7.27     0.02                             blake2b_compress (blake2b-ref.c:211 @ a3fe)
  0.19      7.29     0.02                             blake2b_compress (blake2b-ref.c:211 @ a41a)
  0.19      7.31     0.02                             blake2b_compress (blake2b-ref.c:211 @ a477)
  0.19      7.33     0.02                             blake2b_compress (blake2b-ref.c:211 @ a496)
  0.19      7.35     0.02                             blake2b_compress (blake2b-ref.c:214 @ a4a1)
  0.19      7.37     0.02                             blake2b_final (blake2b-ref.c:264 @ abcf)
  0.19      7.39     0.02                             rotr64 (blake2-impl.h:155 @ 8ea7)
  0.19      7.41     0.02                             rotr64 (blake2-impl.h:155 @ 9400)
  0.19      7.43     0.02                             rotr64 (blake2-impl.h:155 @ 96d0)
  0.19      7.45     0.02                             rotr64 (blake2-impl.h:155 @ 9849)
  0.19      7.47     0.02                             rotr64 (blake2-impl.h:155 @ 993e)
  0.19      7.49     0.02                             rotr64 (blake2-impl.h:155 @ 9bc1)
  0.19      7.51     0.02                             rotr64 (blake2-impl.h:155 @ 9c9f)
  0.19      7.53     0.02                             rotr64 (blake2-impl.h:155 @ 9d58)
  0.19      7.55     0.02                             rotr64 (blake2-impl.h:155 @ a2b2)
  0.19      7.57     0.02                             rs_sig_s_header (mksum.c:68 @ 7740)
  0.19      7.59     0.02                             rs_tube_write (tube.c:198 @ 8bc7)
  0.14      7.60     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8e01)
  0.14      7.62     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8fda)
  0.14      7.63     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8fe3)
  0.14      7.65     0.02                             blake2b_compress (blake2b-ref.c:201 @ 90de)
  0.14      7.66     0.02                             blake2b_compress (blake2b-ref.c:202 @ 918a)
  0.14      7.68     0.02                             blake2b_compress (blake2b-ref.c:202 @ 9298)
  0.14      7.69     0.02                             blake2b_compress (blake2b-ref.c:203 @ 938f)
  0.14      7.71     0.02                             blake2b_compress (blake2b-ref.c:203 @ 93d5)
  0.14      7.72     0.02                             blake2b_compress (blake2b-ref.c:204 @ 964b)
  0.14      7.74     0.02                             blake2b_compress (blake2b-ref.c:204 @ 9703)
  0.14      7.75     0.02                             blake2b_compress (blake2b-ref.c:204 @ 972b)
  0.14      7.77     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9892)
  0.14      7.78     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9c02)
  0.14      7.80     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9c13)
  0.14      7.81     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9c66)
  0.14      7.83     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9cca)
  0.14      7.84     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9db7)
  0.14      7.86     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9e28)
  0.14      7.87     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9eb4)
  0.14      7.89     0.02                             blake2b_compress (blake2b-ref.c:209 @ a02f)
  0.14      7.90     0.02                             blake2b_compress (blake2b-ref.c:210 @ a163)
  0.14      7.92     0.02                             blake2b_compress (blake2b-ref.c:211 @ a3b3)
  0.14      7.93     0.02                             blake2b_compress (blake2b-ref.c:211 @ a436)
  0.14      7.95     0.02                             rabinkarp_update (rabinkarp.h:82 @ 5abf)
  0.14      7.96     0.02                             rotr64 (blake2-impl.h:155 @ 8f62)
  0.14      7.98     0.02                             rotr64 (blake2-impl.h:155 @ 90d6)
  0.14      7.99     0.02                             rotr64 (blake2-impl.h:155 @ 91d3)
  0.14      8.01     0.02                             rotr64 (blake2-impl.h:155 @ 938b)
  0.14      8.02     0.02                             rotr64 (blake2-impl.h:155 @ 985f)
  0.14      8.04     0.02                             rotr64 (blake2-impl.h:155 @ 98e2)
  0.14      8.05     0.02                             rotr64 (blake2-impl.h:155 @ 9992)
  0.14      8.07     0.02                             rotr64 (blake2-impl.h:155 @ 9b28)
  0.14      8.08     0.02                             rotr64 (blake2-impl.h:155 @ 9e42)
  0.14      8.10     0.02                             rotr64 (blake2-impl.h:155 @ a0e2)
  0.14      8.11     0.02                             rotr64 (blake2-impl.h:155 @ a473)
