Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.04    117.29     0.05                             rs_appendmiss (delta.c:291 @ 60af)
  0.04    117.33     0.05                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.04    117.38     0.05                             blake2b_compress (blake2b-ref.c:208 @ 94db)
  0.04    117.42     0.05                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.03    117.46     0.04                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.03    117.50     0.04                             blake2b_compress (blake2b-ref.c:201 @ 8857)
  0.03    117.54     0.04                             blake2b_compress (blake2b-ref.c:201 @ 88c9)
  0.03    117.58     0.04                             blake2b_compress (blake2b-ref.c:201 @ 88f5)
  0.03    117.62     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8b84)
  0.03    117.66     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8d28)
  0.03    117.70     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8f44)
  0.03    117.74     0.04                             blake2b_compress (blake2b-ref.c:205 @ 903c)
  0.03    117.78     0.04                             blake2b_compress (blake2b-ref.c:205 @ 9049)
  0.03    117.82     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.03    117.86     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9304)
  0.03    117.90     0.04                             blake2b_compress (blake2b-ref.c:209 @ 96c4)
  0.03    117.94     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9c10)
  0.03    117.98     0.04                             hashtable_add (hashtable.h:272 @ 4b62)
  0.03    118.02     0.04                             rs_loadsig_s_stronglen (readsums.c:104 @ 7d11)
  0.03    118.06     0.04                             rs_signature_add_block (sumset.c:243 @ 46be)
  0.03    118.10     0.04                             rs_tube_catchup (tube.c:157 @ 8284)
  0.03    118.14     0.04                             blake2b_compress (blake2b-ref.c:202 @ 89ff)
  0.03    118.17     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8ab7)
  0.03    118.21     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8bf7)
  0.03    118.24     0.04                             blake2b_compress (blake2b-ref.c:206 @ 91b2)
  0.03    118.28     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9413)
  0.03    118.31     0.04                             blake2b_init0 (blake2b-ref.c:77 @ 9e45)
  0.03    118.35     0.04                             rotr64 (blake2-impl.h:155 @ 9632)
  0.03    118.38     0.04                             secure_zero_memory (blake2-impl.h:162 @ a156)
  0.03    118.42     0.04                             blake2b_compress (blake2b-ref.c:200 @ 872a)
  0.03    118.45     0.04                             blake2b_compress (blake2b-ref.c:200 @ 876b)
  0.03    118.49     0.04                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
  0.03    118.52     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8a63)
  0.03    118.56     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8ef2)
  0.03    118.59     0.04                             blake2b_compress (blake2b-ref.c:207 @ 92fb)
  0.03    118.63     0.04                             blake2b_compress (blake2b-ref.c:209 @ 96a7)
  0.03    118.66     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.03    118.70     0.04                             rotr64 (blake2-impl.h:155 @ 8a52)
  0.03    118.73     0.04                             rotr64 (blake2-impl.h:155 @ 90ba)
  0.02    118.76     0.03  1545442    19.41    19.41  rs_calc_strong_sum (checksum.c:59 @ 5800)
  0.02    118.79     0.03                             blake2b_compress (blake2b-ref.c:200 @ 85a4)
  0.02    118.82     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.02    118.85     0.03                             blake2b_compress (blake2b-ref.c:201 @ 87c4)
  0.02    118.88     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
  0.02    118.91     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c9d)
  0.02    118.94     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8d5b)
  0.02    118.97     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e77)
  0.02    119.00     0.03                             blake2b_compress (blake2b-ref.c:206 @ 914d)
  0.02    119.03     0.03                             blake2b_compress (blake2b-ref.c:208 @ 950d)
  0.02    119.06     0.03                             blake2b_compress (blake2b-ref.c:208 @ 964a)
  0.02    119.09     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9856)
  0.02    119.12     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9946)
  0.02    119.15     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9973)
  0.02    119.18     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9b2f)
  0.02    119.21     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9b67)
  0.02    119.24     0.03                             blake2b_update (blake2b-ref.c:235 @ 9d68)
  0.02    119.27     0.03                             hashtable_add (hashtable.h:273 @ 4b57)
  0.02    119.30     0.03                             rotr64 (blake2-impl.h:155 @ 9952)
  0.02    119.33     0.03                             rs_block_match_cmp (sumset.c:76 @ 4807)
  0.02    119.36     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8783)
  0.02    119.39     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c2c)
  0.02    119.42     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8f69)
  0.02    119.45     0.03                             rotr64 (blake2-impl.h:155 @ 8889)
  0.02    119.48     0.03                             rotr64 (blake2-impl.h:155 @ 8d53)
  0.02    119.51     0.03                             rotr64 (blake2-impl.h:155 @ 9628)
  0.02    119.54     0.03                             rotr64 (blake2-impl.h:155 @ 97f1)
  0.02    119.57     0.03                             rotr64 (blake2-impl.h:155 @ 9ba4)
  0.02    119.60     0.03                             rs_tube_catchup (tube.c:138 @ 8267)
  0.02    119.63     0.03                             rs_tube_catchup (tube.c:137 @ 826e)
  0.02    119.66     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9377)
  0.02    119.68     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99b7)
  0.02    119.71     0.03  1048834    23.84    23.84  rs_loadsig_s_weak (readsums.c:57 @ 7bc0)
  0.02    119.73     0.03                             blake2b_compress (blake2b-ref.c:201 @ 87b1)
  0.02    119.76     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8942)
  0.02    119.78     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8b67)
  0.02    119.81     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8b7b)
  0.02    119.83     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c17)
  0.02    119.86     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8cb5)
  0.02    119.88     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8eb6)
  0.02    119.91     0.03                             blake2b_compress (blake2b-ref.c:205 @ 90d6)
  0.02    119.93     0.03                             blake2b_compress (blake2b-ref.c:207 @ 92d6)
  0.02    119.96     0.03                             blake2b_compress (blake2b-ref.c:209 @ 96b1)
  0.02    119.98     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9723)
  0.02    120.01     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a43)
  0.02    120.03     0.03                             blake2b_init_param (blake2b-ref.c:89 @ 9eaa)
  0.02    120.06     0.03                             rotr64 (blake2-impl.h:155 @ 8e12)
  0.02    120.08     0.03                             rotr64 (blake2-impl.h:155 @ 8f8e)
  0.02    120.10     0.02  1147652    17.43    17.43  rs_infilebuf_fill (buf.c:78 @ 55a0)
  0.02    120.12     0.02  1048577    19.08    19.08  rs_delta_s_scan (delta.c:120 @ 5e60)
  0.02    120.14     0.02                             RollsumUpdate (rollsum.c:39 @ 7e20)
  0.02    120.16     0.02                             blake2b_compress (blake2b-ref.c:200 @ 85d0)
  0.02    120.18     0.02                             blake2b_compress (blake2b-ref.c:200 @ 85f5)
  0.02    120.20     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86f1)
  0.02    120.22     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8823)
  0.02    120.24     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88e0)
  0.02    120.26     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8956)
  0.02    120.28     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8998)
  0.02    120.30     0.02                             blake2b_compress (blake2b-ref.c:202 @ 89d9)
  0.02    120.32     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a73)
  0.02    120.34     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b4d)
  0.02    120.36     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f27)
  0.02    120.38     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f31)
  0.02    120.40     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8fad)
  0.02    120.42     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9011)
  0.02    120.44     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9075)
  0.02    120.46     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93ac)
  0.02    120.48     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93b9)
  0.02    120.50     0.02                             blake2b_compress (blake2b-ref.c:207 @ 941d)
  0.02    120.52     0.02                             blake2b_compress (blake2b-ref.c:208 @ 94f9)
  0.02    120.54     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9538)
  0.02    120.56     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9572)
  0.02    120.58     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9586)
  0.02    120.60     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.02    120.62     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95f7)
  0.02    120.64     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9636)
  0.02    120.66     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9683)
  0.02    120.68     0.02                             blake2b_compress (blake2b-ref.c:209 @ 96bb)
  0.02    120.70     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9791)
  0.02    120.72     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97bc)
  0.02    120.74     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9819)
  0.02    120.76     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9868)
  0.02    120.78     0.02                             blake2b_compress (blake2b-ref.c:210 @ 989b)
  0.02    120.80     0.02                             blake2b_compress (blake2b-ref.c:210 @ 98cd)
  0.02    120.82     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99d5)
  0.02    120.84     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9a56)
  0.02    120.86     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ad9)
  0.02    120.88     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b3c)
  0.02    120.90     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ba8)
  0.02    120.92     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bc0)
  0.02    120.94     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c6a)
  0.02    120.96     0.02                             blake2b_increment_counter (blake2b-ref.c:69 @ 9d4d)
  0.02    120.98     0.02                             blake2b_update (blake2b-ref.c:227 @ 9cd7)
  0.02    121.00     0.02                             blake2b_update (blake2b-ref.c:235 @ 9dbc)
  0.02    121.02     0.02                             blake2b_update (blake2b-ref.c:246 @ a074)
  0.02    121.04     0.02                             mix32 (hashtable.h:151 @ 4663)
  0.02    121.06     0.02                             rotr64 (blake2-impl.h:155 @ 868f)
  0.02    121.08     0.02                             rotr64 (blake2-impl.h:155 @ 86e9)
  0.02    121.10     0.02                             rotr64 (blake2-impl.h:155 @ 893a)
  0.02    121.12     0.02                             rotr64 (blake2-impl.h:155 @ 894e)
  0.02    121.14     0.02                             rotr64 (blake2-impl.h:155 @ 8b81)
  0.02    121.16     0.02                             rotr64 (blake2-impl.h:155 @ 8bd8)
  0.02    121.18     0.02                             rotr64 (blake2-impl.h:155 @ 8c28)
  0.02    121.20     0.02                             rotr64 (blake2-impl.h:155 @ 8c8c)
  0.02    121.22     0.02                             rotr64 (blake2-impl.h:155 @ 8cb1)
  0.02    121.24     0.02                             rotr64 (blake2-impl.h:155 @ 8d15)
  0.02    121.26     0.02                             rotr64 (blake2-impl.h:155 @ 8d25)
  0.02    121.28     0.02                             rotr64 (blake2-impl.h:155 @ 8fe8)
  0.02    121.30     0.02                             rotr64 (blake2-impl.h:155 @ 9009)
  0.02    121.32     0.02                             rotr64 (blake2-impl.h:155 @ 92d3)
  0.02    121.34     0.02                             rotr64 (blake2-impl.h:155 @ 93e0)
  0.02    121.36     0.02                             rotr64 (blake2-impl.h:155 @ 9431)
  0.02    121.38     0.02                             rotr64 (blake2-impl.h:155 @ 94a5)
  0.02    121.40     0.02                             rotr64 (blake2-impl.h:155 @ 95ec)
  0.02    121.42     0.02                             rotr64 (blake2-impl.h:155 @ 9718)
  0.02    121.44     0.02                             rotr64 (blake2-impl.h:155 @ 9789)
  0.02    121.46     0.02                             rotr64 (blake2-impl.h:155 @ 984e)
  0.02    121.48     0.02                             rotr64 (blake2-impl.h:155 @ 9862)
  0.02    121.50     0.02                             rotr64 (blake2-impl.h:155 @ 9a32)
  0.02    121.52     0.02                             rotr64 (blake2-impl.h:155 @ 9ab9)
  0.02    121.54     0.02                             rotr64 (blake2-impl.h:155 @ 9ace)
  0.02    121.56     0.02                             rotr64 (blake2-impl.h:155 @ 9c0c)
  0.02    121.58     0.02                             rs_block_sig_idx (sumset.c:114 @ 4852)
  0.02    121.60     0.02                             rs_job_drive (job.c:161 @ 6980)
  0.02    121.62     0.02                             rs_job_iter (job.c:101 @ 67b7)
  0.02    121.64     0.02                             rs_job_iter (job.c:105 @ 6865)
  0.02    121.66     0.02                             rs_job_iter (job.c:114 @ 686b)
  0.02    121.68     0.02                             rs_outfilebuf_drain (buf.c:170 @ 56ca)
  0.02    121.70     0.02                             rs_scoop_input (scoop.c:102 @ 801e)
  0.02    121.72     0.02                             rs_scoop_total_avail (scoop.c:230 @ 824a)
  0.02    121.74     0.02                             rs_signature_find_match (sumset.c:254 @ 4855)
  0.02    121.76     0.02                             rs_suck_netint (netint.c:104 @ 761c)
  0.02    121.78     0.02                             rs_tube_catchup (tube.c:144 @ 8276)
  0.02    121.80     0.02                             rs_tube_write (tube.c:199 @ 848e)
  0.02    121.82     0.02                             store64 (blake2-impl.h:112 @ a130)
  0.01    121.84     0.02  1146882    13.08    13.08  rs_outfilebuf_drain (buf.c:131 @ 5690)
  0.01    121.85     0.02   524288    28.61    28.61  RollsumUpdate (rollsum.c:31 @ 7dd0)
  0.01    121.87     0.02                             RollsumUpdate (rollsum.c:38 @ 7eea)
  0.01    121.88     0.02                             blake2b_compress (blake2b-ref.c:200 @ 85c6)
  0.01    121.90     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86a9)
  0.01    121.91     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86df)
  0.01    121.93     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87a7)
  0.01    121.94     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8801)
  0.01    121.96     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8837)
  0.01    121.97     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c4a)
  0.01    121.99     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8d8d)
  0.01    122.00     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8ee7)
  0.01    122.02     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8f03)
  0.01    122.03     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9237)
  0.01    122.05     0.02                             blake2b_compress (blake2b-ref.c:206 @ 928a)
  0.01    122.06     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92a8)
  0.01    122.08     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92c3)
