Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 34.04     32.18    32.18                             hashtable_find (hashtable.h:330 @ 4781)
 14.30     45.71    13.52                             hashtable_getbloom (hashtable.h:167 @ 476c)
 13.74     58.70    12.99                             hashtable_find (hashtable.h:327 @ 4778)
  4.34     62.80     4.11 537395200     7.64     7.64  rs_signature_find_match (sumset.c:247 @ 4720)
  3.17     65.80     3.00                             rs_signature_find_match (sumset.c:257 @ 485b)
  2.37     68.05     2.24                             rabinkarp_rotate (rabinkarp.h:72 @ 6051)
  2.12     70.05     2.00                             rs_signature_find_match (sumset.c:253 @ 473c)
  2.03     71.97     1.92                             nozero (hashtable.h:185 @ 4737)
  1.45     73.34     1.37                             rabinkarp_update (rabinkarp.c:93 @ 7f68)
  1.12     74.40     1.06                             rs_delta_s_scan (delta.c:133 @ 5ffc)
  1.03     75.37     0.97                             rs_appendmiss (delta.c:287 @ 5f2f)
  0.94     76.25     0.89                             hashtable_find (hashtable.h:341 @ 4848)
  0.93     77.13     0.88                             rs_appendmiss (delta.c:287 @ 604a)
  0.89     77.97     0.84                             rs_signature_find_match (sumset.c:256 @ 4854)
  0.78     78.71     0.74                             rs_delta_s_scan (delta.c:142 @ 5ef1)
  0.76     79.43     0.72                             hashtable_getbloom (hashtable.h:166 @ 4749)
  0.69     80.08     0.65                             nozero (hashtable.h:185 @ 474c)
  0.67     80.72     0.64                             rs_delta_s_scan (delta.c:141 @ 5ef5)
  0.66     81.34     0.62                             hashtable_find (hashtable.h:331 @ 47cd)
  0.59     81.90     0.56                             weaksum_update (checksum.h:84 @ 5fcb)
  0.58     82.45     0.55                             rs_findmatch (delta.c:244 @ 5ecb)
  0.52     82.94     0.49                             rs_signature_find_match (sumset.c:257 @ 4850)
  0.49     83.40     0.46                             rabinkarp_rotate (rabinkarp.h:72 @ 6040)
  0.49     83.86     0.46                             rs_findmatch (delta.c:225 @ 5fa3)
  0.47     84.30     0.44                             rs_delta_s_scan (delta.c:142 @ 5ee0)
  0.47     84.74     0.44                             rs_delta_s_scan (delta.c:142 @ 5ef9)
  0.41     85.12     0.39                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.41     85.51     0.39                             rs_block_match_init (sumset.c:60 @ 4750)
  0.36     85.85     0.34                             mix32 (hashtable.h:178 @ 5ec4)
  0.33     86.16     0.32                             rs_block_match_init (sumset.c:61 @ 4745)
  0.29     86.43     0.27                             weaksum_digest (checksum.h:120 @ 5fed)
  0.24     86.66     0.23                             rs_delta_s_scan (delta.c:133 @ 600e)
  0.24     86.89     0.23                             rs_delta_s_scan (delta.c:158 @ 6027)
  0.24     87.12     0.23                             weaksum_digest (checksum.h:116 @ 5fe5)
  0.22     87.33     0.21                             blake2b_compress (blake2b-ref.c:184 @ 8620)
  0.22     87.54     0.21                             hashtable_getbloom (hashtable.h:167 @ 4765)
  0.21     87.74     0.20                             rs_delta_s_scan (delta.c:133 @ 5f7e)
  0.20     87.93     0.19                             hashtable_getbloom (hashtable.h:166 @ 475b)
  0.20     88.12     0.19                             weaksum_rotate (checksum.h:92 @ 5eee)
  0.16     88.27     0.16                             rs_block_sig_init (sumset.c:35 @ 4769)
  0.16     88.42     0.15                             blake2b_compress (blake2b-ref.c:214 @ 9ddc)
  0.15     88.56     0.14                             hashtable_add (hashtable.h:303 @ 4b47)
  0.15     88.70     0.14                             hashtable_find (hashtable.h:334 @ 47e3)
  0.15     88.84     0.14                             rs_signature_find_match (sumset.c:247 @ 4754)
  0.14     88.98     0.14                             hashtable_getbloom (hashtable.h:166 @ 4763)
  0.13     89.10     0.12                             rs_appendmiss (delta.c:291 @ 5ff8)
  0.12     89.21     0.11                             blake2b_compress (blake2b-ref.c:183 @ 8628)
  0.12     89.32     0.11                             rs_findmatch (delta.c:245 @ 5fde)
  0.10     89.41     0.09                             hashtable_find (hashtable.h:332 @ 47d5)
  0.10     89.50     0.09                             rs_delta_s_scan (delta.c:135 @ 5ed6)
  0.08     89.58     0.08                             blake2b_compress (blake2b-ref.c:188 @ 8648)
  0.08     89.66     0.08                             blake2b_compress (blake2b-ref.c:200 @ 865a)
  0.08     89.74     0.08                             nozero (hashtable.h:185 @ 4740)
  0.06     89.80     0.06                             rs_build_hash_table (sumset.c:286 @ 4b90)
  0.06     89.86     0.06                             rs_scoop_input (scoop.c:104 @ 8182)
  0.06     89.91     0.06                             hashtable_find (hashtable.h:334 @ 4837)
  0.05     89.96     0.05                             blake2b_compress (blake2b-ref.c:216 @ 9df6)
  0.05     90.01     0.05                             rs_tube_catchup (tube.c:157 @ 83d4)
  0.05     90.06     0.05                             hashtable_find (hashtable.h:327 @ 4a21)
  0.05     90.10     0.05                             hashtable_getbloom (hashtable.h:167 @ 4a15)
  0.04     90.14     0.04                             blake2b_compress (blake2b-ref.c:178 @ 860c)
  0.04     90.18     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8f08)
  0.04     90.22     0.04                             blake2b_compress (blake2b-ref.c:206 @ 92c1)
  0.04     90.26     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9703)
  0.04     90.30     0.04                             blake2b_compress (blake2b-ref.c:210 @ 99b8)
  0.04     90.34     0.04                             hashtable_add (hashtable.h:305 @ 4b82)
  0.04     90.38     0.04                             rs_delta_s_scan (delta.c:121 @ 5e57)
  0.04     90.42     0.04                             rs_scoop_readahead (scoop.c:153 @ 8261)
  0.04     90.46     0.04  5894604     5.94     5.94  blake2b_compress (blake2b-ref.c:178 @ 85f0)
  0.04     90.49     0.04                             blake2b_compress (blake2b-ref.c:210 @ 9b07)
  0.04     90.53     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9da1)
  0.03     90.56     0.03   654956    45.81    45.81  rs_calc_strong_sum (checksum.c:59 @ 5860)
  0.03     90.59     0.03                             blake2b_compress (blake2b-ref.c:200 @ 880e)
  0.03     90.62     0.03                             blake2b_compress (blake2b-ref.c:208 @ 96f3)
  0.03     90.65     0.03                             blake2b_compress (blake2b-ref.c:209 @ 98bc)
  0.03     90.68     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a41)
  0.03     90.71     0.03                             hashtable_add (hashtable.h:306 @ 4b87)
  0.03     90.74     0.03                             rabinkarp_update (rabinkarp.c:94 @ 804f)
  0.03     90.77     0.03                             rabinkarp_update (rabinkarp.c:92 @ 8053)
  0.03     90.80     0.03                             rotr64 (blake2-impl.h:155 @ 8ea3)
  0.03     90.83     0.03                             rotr64 (blake2-impl.h:155 @ 9263)
  0.03     90.86     0.03                             rs_infilebuf_fill (buf.c:93 @ 566b)
  0.03     90.89     0.03                             rs_job_drive (job.c:160 @ 6932)
  0.03     90.92     0.03                             store64 (blake2-impl.h:112 @ a280)
  0.03     90.94     0.03                             blake2b_compress (blake2b-ref.c:204 @ 901a)
  0.03     90.97     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9dd2)
  0.03     90.99     0.03  2097925    11.92    11.92  rs_scoop_read (scoop.c:193 @ 82f0)
  0.03     91.02     0.03                             blake2b_compress (blake2b-ref.c:200 @ 88dd)
  0.03     91.04     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8c07)
  0.03     91.07     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8ccb)
  0.02     91.09     0.02  1049088    19.07    19.07  rs_scoop_input (scoop.c:68 @ 80d0)
  0.02     91.11     0.02  1048837    19.07    19.07  rs_suck_netint (netint.c:95 @ 75a0)
  0.02     91.13     0.02                             blake2b_compress (blake2b-ref.c:187 @ 8639)
  0.02     91.15     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86f4)
  0.02     91.17     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8734)
  0.02     91.19     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88f7)
  0.02     91.21     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8914)
  0.02     91.23     0.02                             blake2b_compress (blake2b-ref.c:201 @ 89e1)
  0.02     91.25     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ae8)
  0.02     91.27     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8ded)
  0.02     91.29     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e78)
  0.02     91.31     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8ec9)
  0.02     91.33     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8f83)
  0.02     91.35     0.02                             blake2b_compress (blake2b-ref.c:205 @ 91b0)
  0.02     91.37     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9201)
  0.02     91.39     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9238)
  0.02     91.41     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.02     91.43     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9534)
  0.02     91.45     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c8c)
  0.02     91.47     0.02                             blake2b_increment_counter (blake2b-ref.c:68 @ 9ef5)
  0.02     91.49     0.02                             blake2b_init (blake2b-ref.c:113 @ a06a)
  0.02     91.51     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9f6f)
  0.02     91.53     0.02                             blake2b_update (blake2b-ref.c:235 @ 9f0c)
  0.02     91.55     0.02                             rabinkarp_update (rabinkarp.c:92 @ 7f4d)
  0.02     91.57     0.02                             rotr64 (blake2-impl.h:155 @ 8ef7)
  0.02     91.59     0.02                             rotr64 (blake2-impl.h:155 @ 9159)
  0.02     91.61     0.02                             rotr64 (blake2-impl.h:155 @ 9677)
  0.02     91.63     0.02                             rotr64 (blake2-impl.h:155 @ 96ce)
  0.02     91.65     0.02                             rotr64 (blake2-impl.h:155 @ 9c1e)
  0.02     91.67     0.02                             rs_block_match_init (sumset.c:59 @ 4757)
  0.02     91.69     0.02                             rs_block_sig_idx (sumset.c:114 @ 489f)
  0.02     91.71     0.02                             rs_calc_strong_sum (checksum.c:68 @ 588e)
  0.02     91.73     0.02                             rs_delta_s_scan (delta.c:149 @ 6013)
  0.02     91.75     0.02                             rs_scoop_total_avail (scoop.c:230 @ 839a)
  0.02     91.77     0.02                             rs_tube_catchup (tube.c:138 @ 83b7)
