Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 27.81      2.58     2.58                             rabinkarp_update (rabinkarp.c:93 @ 7f68)
  3.56      2.91     0.33                             blake2b_compress (blake2b-ref.c:184 @ 8620)
  3.56      3.24     0.33                             blake2b_compress (blake2b-ref.c:214 @ 9ddc)
  1.40      3.37     0.13                             blake2b_compress (blake2b-ref.c:183 @ 8628)
  1.08      3.47     0.10                             blake2b_compress (blake2b-ref.c:188 @ 8648)
  0.97      3.56     0.09                             blake2b_compress (blake2b-ref.c:178 @ 860c)
  0.97      3.65     0.09                             blake2b_compress (blake2b-ref.c:207 @ 9534)
  0.86      3.73     0.08                             blake2b_compress (blake2b-ref.c:187 @ 8639)
  0.86      3.81     0.08                             blake2b_compress (blake2b-ref.c:200 @ 865a)
  0.65      3.87     0.06  9437184     6.36     6.36  blake2b_compress (blake2b-ref.c:178 @ 85f0)
  0.65      3.93     0.06                             blake2b_compress (blake2b-ref.c:211 @ 9da1)
  0.65      3.99     0.06                             blake2b_compress (blake2b-ref.c:213 @ 9dd2)
  0.54      4.04     0.05                             blake2b_compress (blake2b-ref.c:202 @ 8bc3)
  0.54      4.09     0.05                             blake2b_compress (blake2b-ref.c:211 @ 9d10)
  0.54      4.14     0.05                             blake2b_init0 (blake2b-ref.c:75 @ 9f6f)
  0.54      4.19     0.05                             rabinkarp_update (rabinkarp.c:92 @ 8053)
  0.49      4.23     0.05                             blake2b_compress (blake2b-ref.c:206 @ 9387)
  0.49      4.28     0.05                             blake2b_compress (blake2b-ref.c:210 @ 99b8)
  0.49      4.32     0.05                             rotr64 (blake2-impl.h:155 @ 8ef7)
  0.43      4.36     0.04  2097155    19.08    19.08  rs_tube_write (tube.c:193 @ 85b0)
  0.43      4.40     0.04                             blake2b_compress (blake2b-ref.c:183 @ 860a)
  0.43      4.44     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8db4)
  0.43      4.48     0.04                             blake2b_compress (blake2b-ref.c:204 @ 901a)
  0.43      4.52     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9238)
  0.43      4.56     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9343)
  0.43      4.60     0.04                             blake2b_compress (blake2b-ref.c:209 @ 990c)
  0.43      4.64     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9d4f)
  0.43      4.68     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9d60)
  0.43      4.72     0.04                             blake2b_compress (blake2b-ref.c:216 @ 9df6)
  0.38      4.76     0.04                             blake2b_compress (blake2b-ref.c:205 @ 90b9)
  0.38      4.79     0.04                             blake2b_compress (blake2b-ref.c:209 @ 9887)
  0.38      4.83     0.04                             rabinkarp_update (rabinkarp.c:94 @ 804f)
  0.38      4.86     0.04                             rotr64 (blake2-impl.h:155 @ 9423)
  0.38      4.90     0.04                             rotr64 (blake2-impl.h:155 @ 955c)
  0.32      4.93     0.03  1048576    28.61    28.61  rs_calc_strong_sum (checksum.c:59 @ 5860)
  0.32      4.96     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8786)
  0.32      4.99     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8914)
  0.32      5.02     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8939)
  0.32      5.05     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8a0c)
  0.32      5.08     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8de3)
