Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 33.04     27.80    27.80                             hashtable_find (hashtable.h:332 @ 4782)
 12.97     38.72    10.91                             hashtable_getbloom (hashtable.h:167 @ 476d)
 12.78     49.47    10.76                             hashtable_find (hashtable.h:329 @ 4779)
  4.49     53.25     3.78 537395200     7.03     7.03  rs_signature_find_match (sumset.c:247 @ 4720)
  3.46     56.16     2.91                             rs_signature_find_match (sumset.c:257 @ 4873)
  2.94     58.63     2.48                             rabinkarp_rotate (rabinkarp.h:72 @ 60a1)
  2.47     60.71     2.08                             rs_signature_find_match (sumset.c:253 @ 473c)
  2.32     62.66     1.96                             nozero (hashtable.h:185 @ 4737)
  1.50     63.92     1.26                             rabinkarp_update (rabinkarp.c:93 @ 7fb8)
  1.31     65.02     1.10                             hashtable_find (hashtable.h:343 @ 4860)
  1.24     66.06     1.04                             rs_appendmiss (delta.c:287 @ 5f7f)
  1.21     67.08     1.02                             rs_delta_s_scan (delta.c:133 @ 604c)
  1.09     67.99     0.92                             rs_appendmiss (delta.c:287 @ 609a)
  0.97     68.82     0.82                             rs_signature_find_match (sumset.c:256 @ 486c)
  0.83     69.51     0.70                             rs_delta_s_scan (delta.c:142 @ 5f41)
  0.68     70.09     0.58                             rs_delta_s_scan (delta.c:141 @ 5f45)
  0.67     70.65     0.56                             weaksum_update (checksum.h:84 @ 601b)
  0.62     71.17     0.52                             hashtable_find (hashtable.h:333 @ 47e3)
  0.58     71.65     0.49                             hashtable_getbloom (hashtable.h:166 @ 4749)
  0.55     72.11     0.46                             rs_signature_find_match (sumset.c:257 @ 4868)
  0.53     72.56     0.45                             rs_findmatch (delta.c:244 @ 5f1b)
  0.51     72.99     0.43                             nozero (hashtable.h:185 @ 474d)
  0.48     73.39     0.40                             rs_delta_s_scan (delta.c:142 @ 5f30)
  0.48     73.79     0.40                             rs_findmatch (delta.c:225 @ 5ff3)
  0.45     74.17     0.38                             rs_delta_s_scan (delta.c:142 @ 5f49)
  0.43     74.54     0.37                             rabinkarp_rotate (rabinkarp.h:72 @ 6090)
  0.42     74.89     0.36                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.33     75.17     0.28                             mix32 (hashtable.h:178 @ 5f14)
  0.32     75.44     0.27                             rs_block_match_init (sumset.c:59 @ 4758)
  0.31     75.70     0.26                             rs_delta_s_scan (delta.c:133 @ 5fce)
  0.28     75.94     0.24                             rs_block_match_init (sumset.c:61 @ 4745)
  0.27     76.16     0.23                             weaksum_digest (checksum.h:120 @ 603d)
  0.26     76.38     0.22                             blake2b_compress (blake2b-ref.c:184 @ 8670)
  0.26     76.60     0.22                             rs_delta_s_scan (delta.c:133 @ 605e)
  0.25     76.81     0.21                             hashtable_getbloom (hashtable.h:167 @ 4766)
  0.25     77.02     0.21                             weaksum_digest (checksum.h:116 @ 6035)
  0.23     77.21     0.19                             weaksum_rotate (checksum.h:92 @ 5f3e)
  0.21     77.39     0.18                             rs_block_match_init (sumset.c:60 @ 4751)
  0.20     77.56     0.17                             blake2b_compress (blake2b-ref.c:214 @ 9e2c)
  0.18     77.72     0.16                             rs_delta_s_scan (delta.c:158 @ 6077)
  0.16     77.85     0.14                             hashtable_getbloom (hashtable.h:166 @ 475c)
  0.16     77.99     0.14                             rs_block_sig_init (sumset.c:35 @ 476a)
  0.16     78.12     0.14                             rs_signature_find_match (sumset.c:247 @ 4755)
  0.15     78.25     0.13                             blake2b_compress (blake2b-ref.c:183 @ 8678)
  0.14     78.37     0.12                             nozero (hashtable.h:185 @ 4740)
  0.12     78.48     0.11                             rs_appendmiss (delta.c:291 @ 6048)
  0.12     78.58     0.11                             rs_findmatch (delta.c:245 @ 602e)
