Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 20.75      9.51     9.51                             hashtable_find (hashtable.h:332 @ 4782)
  8.14     13.24     3.73 536887296     6.95     6.95  rs_signature_find_match (sumset.c:247 @ 4720)
  6.31     16.13     2.89                             rs_signature_find_match (sumset.c:257 @ 4873)
  6.21     18.98     2.85                             rabinkarp_rotate (rabinkarp.h:72 @ 60a1)
  4.84     21.20     2.22                             rs_signature_find_match (sumset.c:253 @ 473c)
  4.40     23.21     2.02                             nozero (hashtable.h:185 @ 4737)
  3.31     24.73     1.52                             hashtable_find (hashtable.h:329 @ 4779)
  3.22     26.20     1.48                             hashtable_getbloom (hashtable.h:167 @ 476d)
  2.92     27.54     1.34                             rabinkarp_update (rabinkarp.c:93 @ 7fb8)
  2.72     28.79     1.25                             hashtable_find (hashtable.h:343 @ 4860)
  2.50     29.93     1.15                             rs_delta_s_scan (delta.c:133 @ 604c)
  1.82     30.77     0.84                             rs_appendmiss (delta.c:287 @ 609a)
  1.53     31.47     0.70                             rs_findmatch (delta.c:244 @ 5f1b)
  1.32     32.07     0.61                             rs_signature_find_match (sumset.c:256 @ 486c)
  1.27     32.65     0.58                             hashtable_find (hashtable.h:333 @ 47e3)
  1.24     33.22     0.57                             rs_delta_s_scan (delta.c:142 @ 5f30)
  1.15     33.75     0.53                             rs_delta_s_scan (delta.c:142 @ 5f41)
  1.09     34.25     0.50                             nozero (hashtable.h:185 @ 474d)
  0.97     34.70     0.45                             rs_signature_find_match (sumset.c:257 @ 4868)
  0.96     35.14     0.44                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.89     35.55     0.41                             rabinkarp_rotate (rabinkarp.h:72 @ 6090)
  0.87     35.95     0.40                             rs_delta_s_scan (delta.c:141 @ 5f45)
  0.85     36.34     0.39                             weaksum_digest (checksum.h:120 @ 603d)
  0.84     36.72     0.39                             rs_delta_s_scan (delta.c:142 @ 5f49)
  0.83     37.10     0.38                             rs_appendmiss (delta.c:287 @ 5f7f)
  0.80     37.47     0.37                             hashtable_getbloom (hashtable.h:166 @ 4749)
  0.76     37.82     0.35                             weaksum_update (checksum.h:84 @ 601b)
  0.72     38.15     0.33                             rs_findmatch (delta.c:225 @ 5ff3)
  0.70     38.47     0.32                             weaksum_digest (checksum.h:116 @ 6035)
  0.69     38.78     0.32                             rs_block_match_init (sumset.c:60 @ 4751)
  0.65     39.08     0.30                             mix32 (hashtable.h:178 @ 5f14)
  0.63     39.37     0.29                             hashtable_getbloom (hashtable.h:167 @ 4766)
  0.59     39.64     0.27                             blake2b_compress (blake2b-ref.c:184 @ 8670)
  0.55     39.89     0.25                             rs_delta_s_scan (delta.c:133 @ 5fce)
  0.48     40.11     0.22                             rs_delta_s_scan (delta.c:133 @ 605e)
  0.46     40.32     0.21                             rs_block_sig_init (sumset.c:35 @ 476a)
  0.45     40.53     0.21                             nozero (hashtable.h:185 @ 4740)
  0.45     40.73     0.21                             rs_block_match_init (sumset.c:59 @ 4758)
  0.39     40.91     0.18                             hashtable_find (hashtable.h:327 @ 475f)
  0.39     41.09     0.18                             hashtable_getbloom (hashtable.h:166 @ 4764)
  0.39     41.27     0.18                             rs_delta_s_scan (delta.c:135 @ 5f26)
  0.39     41.45     0.18                             weaksum_rotate (checksum.h:92 @ 5f3e)
  0.37     41.62     0.17                             rs_block_match_init (sumset.c:61 @ 4745)
  0.33     41.77     0.15                             rs_appendmiss (delta.c:291 @ 6048)
  0.29     41.91     0.14                             rs_findmatch (delta.c:245 @ 602e)
  0.26     42.03     0.12                             blake2b_compress (blake2b-ref.c:183 @ 8678)
  0.24     42.14     0.11                             blake2b_compress (blake2b-ref.c:214 @ 9e2c)
  0.24     42.25     0.11                             rs_signature_find_match (sumset.c:247 @ 4755)
  0.23     42.35     0.11                             hashtable_getbloom (hashtable.h:166 @ 475c)
  0.17     42.43     0.08                             blake2b_compress (blake2b-ref.c:178 @ 865c)
  0.17     42.51     0.08                             rs_delta_s_scan (delta.c:158 @ 6077)
  0.13     42.57     0.06                             blake2b_compress (blake2b-ref.c:188 @ 8698)
  0.13     42.63     0.06                             rs_findmatch (delta.c:228 @ 5fef)
