Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 21.95     10.53    10.53                             hashtable_find (hashtable.h:325 @ 478b)
  8.05     14.39     3.86 536887296     7.19     7.19  rs_signature_find_match (sumset.c:247 @ 4720)
  5.79     17.16     2.78                             rabinkarp_rotate (rabinkarp.h:72 @ 6061)
  5.13     19.62     2.46                             hashtable_getbloom (hashtable.h:161 @ 4772)
  5.11     22.07     2.45                             rs_signature_find_match (sumset.c:257 @ 485b)
  4.88     24.41     2.34                             rs_signature_find_match (sumset.c:253 @ 473c)
  4.43     26.54     2.13                             nozero (hashtable.h:179 @ 4737)
  3.01     27.98     1.45                             hashtable_find (hashtable.h:336 @ 4848)
  3.01     29.43     1.45                             rabinkarp_update (rabinkarp.c:93 @ 7f58)
  2.44     30.60     1.17                             rs_delta_s_scan (delta.c:133 @ 600c)
  2.32     31.71     1.11                             hashtable_find (hashtable.h:326 @ 47cd)
  1.68     32.51     0.81                             rs_appendmiss (delta.c:287 @ 605a)
  1.63     33.29     0.78                             rs_findmatch (delta.c:244 @ 5edb)
  1.30     33.92     0.63                             rs_signature_find_match (sumset.c:256 @ 4854)
  1.23     34.51     0.59                             rs_delta_s_scan (delta.c:142 @ 5f09)
  1.22     35.10     0.59                             rabinkarp_rotate (rabinkarp.h:72 @ 6050)
  1.22     35.68     0.59                             rs_delta_s_scan (delta.c:142 @ 5ef0)
  1.03     36.18     0.50                             rs_signature_find_match (sumset.c:257 @ 4850)
  0.87     36.59     0.42                             nozero (hashtable.h:179 @ 474d)
  0.86     37.00     0.41                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.81     37.39     0.39                             hashtable_find (hashtable.h:322 @ 4782)
  0.79     37.77     0.38                             rs_delta_s_scan (delta.c:142 @ 5f01)
  0.78     38.15     0.38                             weaksum_digest (checksum.h:120 @ 5ffd)
  0.77     38.52     0.37                             rs_delta_s_scan (delta.c:133 @ 5f8e)
  0.71     38.86     0.34                             mix32 (hashtable.h:172 @ 5ed4)
  0.69     39.19     0.33                             hashtable_getbloom (hashtable.h:160 @ 4766)
  0.69     39.52     0.33                             rs_block_match_init (sumset.c:59 @ 4753)
  0.69     39.85     0.33                             weaksum_digest (checksum.h:116 @ 5ff5)
  0.66     40.16     0.32                             rs_delta_s_scan (delta.c:141 @ 5f05)
  0.65     40.47     0.31                             rs_block_match_init (sumset.c:61 @ 475a)
  0.65     40.78     0.31                             rs_block_sig_init (sumset.c:35 @ 476f)
  0.63     41.08     0.30                             rs_findmatch (delta.c:225 @ 5fb3)
  0.63     41.38     0.30                             weaksum_update (checksum.h:84 @ 5fdb)
  0.57     41.66     0.28                             hashtable_getbloom (hashtable.h:161 @ 4749)
  0.56     41.93     0.27                             hashtable_find (hashtable.h:320 @ 4761)
  0.56     42.20     0.27                             rs_delta_s_scan (delta.c:133 @ 601e)
  0.55     42.46     0.27                             hashtable_getbloom (hashtable.h:160 @ 4751)
  0.50     42.70     0.24                             rs_appendmiss (delta.c:287 @ 5f3f)
  0.45     42.92     0.22                             nozero (hashtable.h:179 @ 4740)
  0.41     43.11     0.20                             rs_delta_s_scan (delta.c:158 @ 6037)
  0.40     43.30     0.19                             blake2b_compress (blake2b-ref.c:214 @ 9dcc)
  0.39     43.49     0.19                             rs_appendmiss (delta.c:291 @ 6008)
  0.38     43.67     0.18                             rs_findmatch (delta.c:245 @ 5fee)
  0.34     43.83     0.17                             hashtable_find (hashtable.h:327 @ 47d5)
  0.28     43.97     0.14                             rs_block_match_init (sumset.c:60 @ 4745)
  0.28     44.10     0.14                             rs_delta_s_scan (delta.c:135 @ 5ee6)
  0.26     44.23     0.13                             weaksum_rotate (checksum.h:92 @ 5efe)
  0.25     44.35     0.12                             blake2b_compress (blake2b-ref.c:184 @ 8610)
  0.18     44.43     0.09  5245884    16.21    16.21  blake2b_compress (blake2b-ref.c:178 @ 85e0)
  0.17     44.51     0.08                             blake2b_compress (blake2b-ref.c:183 @ 8618)
  0.16     44.59     0.08                             blake2b_compress (blake2b-ref.c:200 @ 864a)
  0.14     44.65     0.07                             hashtable_find (hashtable.h:329 @ 4837)
  0.13     44.71     0.06                             blake2b_compress (blake2b-ref.c:210 @ 99a8)
  0.10     44.76     0.05                             rs_appendmiss (delta.c:291 @ 6017)
  0.10     44.81     0.05                             rs_findmatch (delta.c:228 @ 5faf)
  0.08     44.85     0.04                             blake2b_compress (blake2b-ref.c:178 @ 85fc)
  0.08     44.89     0.04                             rs_signature_find_match (sumset.c:247 @ 4757)
  0.07     44.93     0.04                             blake2b_compress (blake2b-ref.c:183 @ 85fa)
