Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.03    107.72     0.03                             hashtable_add (hashtable.h:273 @ 4b67)
  0.03    107.75     0.03                             rotr64 (blake2-impl.h:155 @ 9527)
  0.03    107.78     0.03                             rotr64 (blake2-impl.h:155 @ 98e0)
  0.03    107.81     0.03                             rs_tube_catchup (tube.c:138 @ 8267)
  0.02    107.83     0.03                             blake2b_compress (blake2b-ref.c:208 @ 94db)
  0.02    107.86     0.03                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.02    107.88     0.03  1049088    23.83    23.83  rs_scoop_input (scoop.c:68 @ 7f80)
  0.02    107.91     0.03  1048834    23.84    23.84  rs_loadsig_s_weak (readsums.c:57 @ 7bc0)
  0.02    107.93     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9c82)
  0.02    107.96     0.03                             rotr64 (blake2-impl.h:155 @ 8a2a)
  0.02    107.98     0.03                             rs_infilebuf_fill (buf.c:104 @ 5619)
  0.02    108.01     0.03                             rs_job_drive (job.c:166 @ 6997)
  0.02    108.03     0.03                             rs_tube_catchup (tube.c:137 @ 826e)
  0.02    108.05     0.02  1147652    17.43    17.43  rs_infilebuf_fill (buf.c:78 @ 55a0)
  0.02    108.07     0.02  1048577    19.08    19.08  rs_delta_s_scan (delta.c:120 @ 5e60)
  0.02    108.09     0.02                             RollsumUpdate (rollsum.c:38 @ 7f70)
  0.02    108.11     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88a2)
  0.02    108.13     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88bc)
  0.02    108.15     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a73)
  0.02    108.17     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8b67)
  0.02    108.19     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8d28)
  0.02    108.21     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e19)
  0.02    108.23     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e23)
  0.02    108.25     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e33)
  0.02    108.27     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8ef2)
  0.02    108.29     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8fd7)
  0.02    108.31     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9075)
  0.02    108.33     0.02                             blake2b_compress (blake2b-ref.c:206 @ 911b)
  0.02    108.35     0.02                             blake2b_compress (blake2b-ref.c:206 @ 91b2)
  0.02    108.37     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9304)
  0.02    108.39     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9397)
  0.02    108.41     0.02                             blake2b_compress (blake2b-ref.c:207 @ 945d)
  0.02    108.43     0.02                             blake2b_compress (blake2b-ref.c:207 @ 948f)
  0.02    108.45     0.02                             blake2b_compress (blake2b-ref.c:208 @ 94a8)
  0.02    108.47     0.02                             blake2b_compress (blake2b-ref.c:208 @ 950d)
  0.02    108.49     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9757)
  0.02    108.51     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97b1)
  0.02    108.53     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9946)
  0.02    108.55     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ba8)
  0.02    108.57     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c10)
  0.02    108.59     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9e1f)
  0.02    108.61     0.02                             blake2b_init0 (blake2b-ref.c:77 @ 9e45)
  0.02    108.63     0.02                             blake2b_update (blake2b-ref.c:235 @ 9dbc)
  0.02    108.65     0.02                             rabinkarp_update (rabinkarp.h:82 @ 5f33)
  0.02    108.67     0.02                             rotr64 (blake2-impl.h:155 @ 89a4)
  0.02    108.69     0.02                             rotr64 (blake2-impl.h:155 @ 90e2)
  0.02    108.71     0.02                             rs_calc_strong_sum (checksum.c:68 @ 582e)
  0.02    108.73     0.02                             rs_delta_s_flush (delta.c:304 @ 5e5b)
  0.02    108.75     0.02                             rs_job_iter (job.c:105 @ 6865)
  0.02    108.77     0.02                             rs_job_iter (job.c:114 @ 686b)
  0.02    108.79     0.02                             rs_outfilebuf_drain (buf.c:138 @ 56a7)
  0.02    108.81     0.02                             rs_scoop_total_avail (scoop.c:230 @ 824a)
  0.02    108.83     0.02                             rs_tube_catchup (tube.c:157 @ 8284)
  0.02    108.85     0.02                             uint32_pow (rabinkarp.h:62 @ 5f5b)
  0.01    108.87     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8783)
  0.01    108.88     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b43)
  0.01    108.90     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8b7b)
  0.01    108.91     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8cb5)
  0.01    108.93     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8eb6)
  0.01    108.94     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90c2)
  0.01    108.96     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9701)
  0.01    108.97     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9856)
  0.01    108.99     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9973)
  0.01    109.00     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b5d)
  0.01    109.02     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b9e)
  0.01    109.03     0.02                             blake2b_final (blake2b-ref.c:262 @ a11b)
  0.01    109.05     0.02                             blake2b_update (blake2b-ref.c:227 @ 9cd7)
  0.01    109.06     0.02                             blake2b_update (blake2b-ref.c:231 @ 9d2b)
  0.01    109.08     0.02                             rotr64 (blake2-impl.h:155 @ 868f)
  0.01    109.09     0.02                             rotr64 (blake2-impl.h:155 @ 8a3e)
