Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.04     42.81     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b29)
  0.04     42.83     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b4f)
  0.04     42.85     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8c93)
  0.04     42.87     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9127)
  0.04     42.89     0.02                             blake2b_compress (blake2b-ref.c:205 @ 913c)
  0.04     42.91     0.02                             blake2b_compress (blake2b-ref.c:206 @ 926b)
  0.04     42.93     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9454)
  0.04     42.95     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9747)
  0.04     42.97     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98a1)
  0.04     42.99     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98bc)
  0.04     43.01     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9945)
  0.04     43.03     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bcb)
  0.04     43.05     0.02                             blake2b_compress (blake2b-ref.c:213 @ 9dd2)
  0.04     43.07     0.02                             rotr64 (blake2-impl.h:155 @ 8fbc)
  0.04     43.09     0.02                             rotr64 (blake2-impl.h:155 @ 90cd)
  0.04     43.11     0.02                             rotr64 (blake2-impl.h:155 @ 9159)
  0.04     43.13     0.02                             rotr64 (blake2-impl.h:155 @ 9782)
  0.04     43.15     0.02                             rotr64 (blake2-impl.h:155 @ 9bbd)
  0.03     43.17     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8716)
  0.03     43.18     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88e6)
  0.03     43.20     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a74)
  0.03     43.21     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8bc3)
  0.03     43.23     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8c78)
  0.03     43.24     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8f83)
  0.03     43.26     0.02                             blake2b_compress (blake2b-ref.c:204 @ 905d)
  0.03     43.27     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90d1)
  0.03     43.29     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9212)
  0.03     43.30     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9226)
  0.03     43.32     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9413)
  0.03     43.33     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9786)
  0.03     43.35     0.02                             blake2b_compress (blake2b-ref.c:208 @ 979a)
  0.03     43.36     0.02                             blake2b_compress (blake2b-ref.c:209 @ 99a6)
  0.03     43.38     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bb7)
  0.03     43.39     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9cb7)
  0.03     43.41     0.02                             rotr64 (blake2-impl.h:155 @ 88cf)
  0.03     43.42     0.02                             rotr64 (blake2-impl.h:155 @ 8a7e)
  0.03     43.44     0.02                             rotr64 (blake2-impl.h:155 @ 8fae)
  0.03     43.45     0.02                             rotr64 (blake2-impl.h:155 @ 903e)
  0.03     43.47     0.02                             rotr64 (blake2-impl.h:155 @ 9063)
  0.03     43.48     0.02                             rotr64 (blake2-impl.h:155 @ 9b82)
  0.02     43.49     0.01                             blake2b_compress (blake2b-ref.c:187 @ 8650)
  0.02     43.50     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86f4)
  0.02     43.51     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8720)
  0.02     43.52     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8786)
  0.02     43.53     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87e6)
  0.02     43.54     0.01                             blake2b_compress (blake2b-ref.c:200 @ 886c)
  0.02     43.55     0.01                             blake2b_compress (blake2b-ref.c:200 @ 888c)
  0.02     43.56     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88f7)
  0.02     43.57     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a01)
  0.02     43.58     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a19)
  0.02     43.59     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a30)
  0.02     43.60     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8a69)
  0.02     43.61     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ae8)
  0.02     43.62     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8afc)
  0.02     43.63     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cb7)
  0.02     43.64     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cd4)
  0.02     43.65     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d33)
  0.02     43.66     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d47)
  0.02     43.67     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d67)
  0.02     43.68     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d7c)
  0.02     43.69     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e78)
  0.02     43.70     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8ec9)
  0.02     43.71     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f56)
  0.02     43.72     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8fb2)
  0.02     43.73     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8fc7)
  0.02     43.74     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9042)
  0.02     43.75     0.01                             blake2b_compress (blake2b-ref.c:204 @ 9053)
  0.02     43.76     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9066)
  0.02     43.77     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9094)
  0.02     43.78     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9107)
  0.02     43.79     0.01                             blake2b_compress (blake2b-ref.c:205 @ 91c5)
  0.02     43.80     0.01                             blake2b_compress (blake2b-ref.c:206 @ 929d)
  0.02     43.81     0.01                             blake2b_compress (blake2b-ref.c:206 @ 92c1)
  0.02     43.82     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9316)
  0.02     43.83     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9329)
  0.02     43.84     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9372)
  0.02     43.85     0.01                             blake2b_compress (blake2b-ref.c:206 @ 941d)
  0.02     43.86     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9437)
  0.02     43.87     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9534)
  0.02     43.88     0.01                             blake2b_compress (blake2b-ref.c:207 @ 956d)
  0.02     43.89     0.01                             blake2b_compress (blake2b-ref.c:207 @ 95ad)
  0.02     43.90     0.01                             blake2b_compress (blake2b-ref.c:207 @ 95cb)
  0.02     43.91     0.01                             blake2b_compress (blake2b-ref.c:208 @ 962b)
  0.02     43.92     0.01                             blake2b_compress (blake2b-ref.c:208 @ 96d6)
  0.02     43.93     0.01                             blake2b_compress (blake2b-ref.c:209 @ 98a7)
  0.02     43.94     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9919)
  0.02     43.95     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9969)
  0.02     43.96     0.01                             blake2b_compress (blake2b-ref.c:209 @ 9974)
  0.02     43.97     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a1d)
  0.02     43.98     0.01                             blake2b_compress (blake2b-ref.c:210 @ 9a41)
