Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.23      5.73     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9945)
  0.23      5.75     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99b8)
  0.23      5.77     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9ac3)
  0.23      5.79     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b46)
  0.23      5.81     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b9d)
  0.23      5.83     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d10)
  0.23      5.85     0.02                             blake2b_compress (blake2b-ref.c:213 @ 9df1)
  0.23      5.87     0.02                             blake2b_update (blake2b-ref.c:235 @ 9f0c)
  0.23      5.89     0.02                             rabinkarp_update (rabinkarp.c:92 @ 7f4d)
  0.23      5.91     0.02                             rotr64 (blake2-impl.h:155 @ 8839)
  0.23      5.93     0.02                             rotr64 (blake2-impl.h:155 @ 8911)
  0.23      5.95     0.02                             rotr64 (blake2-impl.h:155 @ 8a15)
  0.23      5.97     0.02                             rotr64 (blake2-impl.h:155 @ 8ef7)
  0.23      5.99     0.02                             rotr64 (blake2-impl.h:155 @ 8fbc)
  0.23      6.01     0.02                             rotr64 (blake2-impl.h:155 @ 9063)
  0.23      6.03     0.02                             rotr64 (blake2-impl.h:155 @ 9159)
  0.23      6.05     0.02                             rotr64 (blake2-impl.h:155 @ 9184)
  0.23      6.07     0.02                             rotr64 (blake2-impl.h:155 @ 920a)
  0.23      6.09     0.02                             rotr64 (blake2-impl.h:155 @ 9263)
  0.23      6.11     0.02                             rotr64 (blake2-impl.h:155 @ 9281)
  0.23      6.13     0.02                             rotr64 (blake2-impl.h:155 @ 92b0)
  0.23      6.15     0.02                             rotr64 (blake2-impl.h:155 @ 9322)
  0.23      6.17     0.02                             rotr64 (blake2-impl.h:155 @ 9655)
  0.23      6.19     0.02                             rotr64 (blake2-impl.h:155 @ 984d)
  0.23      6.21     0.02                             rotr64 (blake2-impl.h:155 @ 98d9)
  0.23      6.23     0.02                             rotr64 (blake2-impl.h:155 @ 9904)
  0.23      6.25     0.02                             rotr64 (blake2-impl.h:155 @ 9a01)
  0.23      6.27     0.02                             rotr64 (blake2-impl.h:155 @ 9afc)
  0.23      6.29     0.02                             rotr64 (blake2-impl.h:155 @ 9c1e)
  0.23      6.31     0.02                             rotr64 (blake2-impl.h:155 @ 9c39)
  0.18      6.32     0.02                             blake2b_compress (blake2b-ref.c:187 @ 8650)
  0.18      6.34     0.02                             blake2b_compress (blake2b-ref.c:200 @ 87f9)
  0.18      6.35     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8973)
  0.18      6.37     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8bb3)
  0.18      6.38     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d33)
  0.18      6.40     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d47)
  0.18      6.41     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8f56)
  0.18      6.43     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90ca)
  0.18      6.44     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9238)
  0.18      6.46     0.02                             blake2b_compress (blake2b-ref.c:206 @ 93f8)
  0.18      6.47     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96d6)
  0.18      6.49     0.02                             blake2b_compress (blake2b-ref.c:208 @ 976b)
  0.18      6.50     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98f2)
  0.18      6.52     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9992)
  0.18      6.53     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a96)
  0.18      6.55     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d86)
  0.18      6.56     0.02                             rotr64 (blake2-impl.h:155 @ 885b)
  0.18      6.58     0.02                             rotr64 (blake2-impl.h:155 @ 895e)
  0.18      6.59     0.02                             rotr64 (blake2-impl.h:155 @ 8f62)
  0.18      6.61     0.02                             rotr64 (blake2-impl.h:155 @ 9073)
  0.18      6.62     0.02                             rotr64 (blake2-impl.h:155 @ 90c3)
  0.18      6.64     0.02                             rotr64 (blake2-impl.h:155 @ 93ae)
  0.18      6.65     0.02                             rotr64 (blake2-impl.h:155 @ 99b2)
  0.18      6.67     0.02                             rotr64 (blake2-impl.h:155 @ 9dc8)
  0.12      6.68     0.01    32768   305.22   305.22  blake2b_final (blake2b-ref.c:249 @ a1d0)
  0.12      6.69     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8766)
