Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 30.28      2.60     2.60                             rabinkarp_update (rabinkarp.c:93 @ 7fb8)
  3.38      2.89     0.29                             blake2b_compress (blake2b-ref.c:184 @ 8670)
  2.80      3.13     0.24                             blake2b_compress (blake2b-ref.c:214 @ 9e2c)
  1.63      3.27     0.14                             blake2b_compress (blake2b-ref.c:183 @ 8678)
  1.52      3.40     0.13                             blake2b_compress (blake2b-ref.c:188 @ 8698)
  0.99      3.48     0.09  8421376    10.09    10.09  blake2b_compress (blake2b-ref.c:178 @ 8640)
  0.93      3.56     0.08                             blake2b_compress (blake2b-ref.c:178 @ 865c)
  0.64      3.62     0.06                             blake2b_compress (blake2b-ref.c:202 @ 8c13)
  0.64      3.67     0.06                             blake2b_compress (blake2b-ref.c:210 @ 9a08)
  0.58      3.72     0.05                             blake2b_compress (blake2b-ref.c:187 @ 8689)
  0.58      3.77     0.05                             blake2b_compress (blake2b-ref.c:200 @ 86aa)
  0.58      3.82     0.05                             blake2b_compress (blake2b-ref.c:201 @ 8a0c)
  0.58      3.87     0.05                             blake2b_compress (blake2b-ref.c:206 @ 9311)
  0.58      3.92     0.05                             blake2b_compress (blake2b-ref.c:210 @ 9a91)
  0.58      3.97     0.05                             rabinkarp_update (rabinkarp.c:92 @ 7f9d)
  0.58      4.02     0.05                             rotr64 (blake2-impl.h:155 @ 9a80)
  0.53      4.07     0.05                             blake2b_compress (blake2b-ref.c:200 @ 8784)
  0.53      4.11     0.05                             blake2b_compress (blake2b-ref.c:216 @ 9e46)
  0.47      4.15     0.04                             blake2b_compress (blake2b-ref.c:200 @ 87d6)
  0.47      4.19     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8b79)
  0.47      4.23     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8ec8)
  0.47      4.27     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9d60)
  0.47      4.31     0.04                             blake2b_compress (blake2b-ref.c:213 @ 9e22)
  0.41      4.35     0.04                             blake2b_compress (blake2b-ref.c:183 @ 865a)
  0.41      4.38     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8bd2)
  0.41      4.42     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8fd3)
  0.41      4.45     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9753)
  0.41      4.49     0.04                             blake2b_compress (blake2b-ref.c:208 @ 97ea)
  0.41      4.52     0.04                             rabinkarp_update (rabinkarp.c:94 @ 809f)
  0.35      4.55     0.03                             blake2b_compress (blake2b-ref.c:187 @ 86a0)
  0.35      4.58     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8891)
  0.35      4.61     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8b60)
  0.35      4.64     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8eaf)
  0.35      4.67     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8f58)
  0.35      4.70     0.03                             blake2b_compress (blake2b-ref.c:205 @ 90e4)
  0.35      4.73     0.03                             blake2b_compress (blake2b-ref.c:205 @ 918c)
  0.35      4.76     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9393)
  0.35      4.79     0.03                             blake2b_compress (blake2b-ref.c:206 @ 93d7)
  0.35      4.82     0.03                             blake2b_compress (blake2b-ref.c:207 @ 94a4)
  0.35      4.85     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9537)
  0.35      4.88     0.03                             blake2b_compress (blake2b-ref.c:207 @ 954c)
  0.35      4.91     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9584)
  0.35      4.94     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c1b)
  0.35      4.97     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9cfd)
  0.35      5.00     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9d9f)
  0.35      5.03     0.03                             rotr64 (blake2-impl.h:155 @ 8961)
  0.35      5.06     0.03                             rotr64 (blake2-impl.h:155 @ 9a02)
  0.29      5.09     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9823)
  0.29      5.11     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9836)
  0.29      5.14     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9851)
  0.29      5.16     0.03                             blake2b_compress (blake2b-ref.c:209 @ 985b)
  0.29      5.19     0.03                             blake2b_compress (blake2b-ref.c:209 @ 99f6)
  0.29      5.21     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c07)
  0.23      5.23     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8744)
  0.23      5.25     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8823)
  0.23      5.27     0.02                             blake2b_compress (blake2b-ref.c:200 @ 885e)
  0.23      5.29     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8919)
  0.23      5.31     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8989)
  0.23      5.33     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a31)
  0.23      5.35     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a95)
  0.23      5.37     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d07)
  0.23      5.39     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d1b)
  0.23      5.41     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8e04)
  0.23      5.43     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8e3d)
  0.23      5.45     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8e7d)
  0.23      5.47     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8f19)
  0.23      5.49     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8fa6)
  0.23      5.51     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9276)
  0.23      5.53     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92ed)
  0.23      5.55     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9383)
  0.23      5.57     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9487)
  0.23      5.59     0.02                             blake2b_compress (blake2b-ref.c:207 @ 94e1)
  0.23      5.61     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9648)
  0.23      5.63     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96d8)
  0.23      5.65     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9864)
  0.23      5.67     0.02                             blake2b_compress (blake2b-ref.c:209 @ 990c)
  0.23      5.69     0.02                             blake2b_compress (blake2b-ref.c:209 @ 99d1)
  0.23      5.71     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a3b)
  0.23      5.73     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9ad2)
  0.23      5.75     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b13)
  0.23      5.77     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b57)
  0.23      5.79     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9bed)
  0.23      5.81     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c79)
  0.23      5.83     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d07)
  0.23      5.85     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d48)
  0.23      5.87     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d8d)
  0.23      5.89     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9db0)
  0.23      5.91     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9df1)
  0.23      5.93     0.02                             rabinkarp_update (rabinkarp.c:92 @ 80a3)
  0.23      5.95     0.02                             rotr64 (blake2-impl.h:155 @ 8a08)
  0.23      5.97     0.02                             rotr64 (blake2-impl.h:155 @ 8b30)
  0.23      5.99     0.02                             rotr64 (blake2-impl.h:155 @ 8cd2)
  0.23      6.01     0.02                             rotr64 (blake2-impl.h:155 @ 8f11)
  0.23      6.03     0.02                             rotr64 (blake2-impl.h:155 @ 925a)
  0.23      6.05     0.02                             rotr64 (blake2-impl.h:155 @ 9452)
  0.23      6.07     0.02                             rotr64 (blake2-impl.h:155 @ 948d)
  0.23      6.09     0.02                             rotr64 (blake2-impl.h:155 @ 96c7)
  0.23      6.11     0.02                             rotr64 (blake2-impl.h:155 @ 978c)
  0.23      6.13     0.02                             rotr64 (blake2-impl.h:155 @ 9829)
  0.23      6.15     0.02                             rotr64 (blake2-impl.h:155 @ 9a51)
  0.23      6.17     0.02                             rotr64 (blake2-impl.h:155 @ 9be9)
  0.23      6.19     0.02                             rotr64 (blake2-impl.h:155 @ 9d33)
